Municipios;Sexo;Periodo;Total
36005 Caldas de Reis;Mujeres;2007;5068
36005 Caldas de Reis;Mujeres;2006;5052
36005 Caldas de Reis;Mujeres;2005;4999
36005 Caldas de Reis;Mujeres;2004;4931
36005 Caldas de Reis;Mujeres;2003;4949
36005 Caldas de Reis;Mujeres;2002;4907
36005 Caldas de Reis;Mujeres;2001;4914
36005 Caldas de Reis;Mujeres;2000;4901
36005 Caldas de Reis;Mujeres;1999;4895
36005 Caldas de Reis;Mujeres;1998;4868
36005 Caldas de Reis;Mujeres;1997;
36005 Caldas de Reis;Mujeres;1996;4828
36006 Cambados;Total;2020;13721
36006 Cambados;Total;2019;13744
36006 Cambados;Total;2018;13814
36006 Cambados;Total;2017;13900
36006 Cambados;Total;2016;13977
36006 Cambados;Total;2015;13895
36006 Cambados;Total;2014;13399
36006 Cambados;Total;2013;13544
36006 Cambados;Total;2012;13898
36006 Cambados;Total;2011;13946
36006 Cambados;Total;2010;13872
36006 Cambados;Total;2009;13708
36006 Cambados;Total;2008;13620
36006 Cambados;Total;2007;13591
36006 Cambados;Total;2006;13562
36006 Cambados;Total;2005;13581
36006 Cambados;Total;2004;13564
36006 Cambados;Total;2003;13524
36006 Cambados;Total;2002;13438
36006 Cambados;Total;2001;13328
36006 Cambados;Total;2000;13240
36006 Cambados;Total;1999;13067
36006 Cambados;Total;1998;12918
36006 Cambados;Total;1997;
36006 Cambados;Total;1996;12936
36006 Cambados;Hombres;2020;6630
36006 Cambados;Hombres;2019;6614
36006 Cambados;Hombres;2018;6673
36006 Cambados;Hombres;2017;6711
36006 Cambados;Hombres;2016;6769
36006 Cambados;Hombres;2015;6744
36006 Cambados;Hombres;2014;6506
36006 Cambados;Hombres;2013;6556
36006 Cambados;Hombres;2012;6734
36006 Cambados;Hombres;2011;6777
36006 Cambados;Hombres;2010;6740
36006 Cambados;Hombres;2009;6693
36006 Cambados;Hombres;2008;6667
36006 Cambados;Hombres;2007;6617
36006 Cambados;Hombres;2006;6603
36006 Cambados;Hombres;2005;6585
36006 Cambados;Hombres;2004;6582
36006 Cambados;Hombres;2003;6557
36006 Cambados;Hombres;2002;6529
36006 Cambados;Hombres;2001;6485
36006 Cambados;Hombres;2000;6427
36006 Cambados;Hombres;1999;6342
36006 Cambados;Hombres;1998;6269
36006 Cambados;Hombres;1997;
36006 Cambados;Hombres;1996;6298
36006 Cambados;Mujeres;2020;7091
36006 Cambados;Mujeres;2019;7130
36006 Cambados;Mujeres;2018;7141
36006 Cambados;Mujeres;2017;7189
36006 Cambados;Mujeres;2016;7208
36006 Cambados;Mujeres;2015;7151
